1,2,3,4,5,6,7,8,9,10,11,12,class
6.10E+16,5.82E+16,2.01E+17,4.16E+17,5.99E+16,6.65E+16,6.92E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.11E+16,5.79E+16,2.01E+17,4.16E+17,5.99E+16,6.65E+16,6.91E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.83E+16,2.01E+17,4.16E+17,5.99E+16,6.63E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,5.99E+16,water
6.11E+16,5.83E+16,2.01E+17,4.16E+17,5.99E+16,6.60E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.05E+16,water
6.10E+16,5.82E+16,2.01E+17,4.16E+17,6.00E+16,6.60E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.02E+16,water
6.10E+16,5.83E+16,2.01E+17,4.16E+17,6.00E+16,6.69E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.86E+16,2.01E+17,4.16E+17,5.99E+16,6.62E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.83E+16,2.01E+17,4.16E+17,5.99E+16,6.62E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.01E+16,water
6.10E+16,5.82E+16,2.01E+17,4.16E+17,5.99E+16,6.67E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.10E+16,5.83E+16,2.01E+17,4.16E+17,6.00E+16,6.62E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.12E+16,5.82E+16,2.01E+17,4.16E+17,6.00E+16,6.62E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.08E+16,water
6.11E+16,5.84E+16,2.01E+17,4.16E+17,5.99E+16,6.60E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.00E+16,water
6.10E+16,5.82E+16,2.00E+17,4.16E+17,6.00E+16,6.61E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.07E+16,water
6.11E+16,5.83E+16,2.01E+17,4.16E+17,6.00E+16,6.65E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.10E+16,5.83E+16,2.01E+17,4.16E+17,6.00E+16,6.62E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.11E+16,5.83E+16,2.01E+17,4.16E+17,6.00E+16,6.58E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.02E+16,water
6.11E+16,5.84E+16,2.01E+17,4.16E+17,5.99E+16,6.65E+16,6.90E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.04E+16,water
6.10E+16,5.83E+16,2.01E+17,4.16E+17,5.99E+16,6.67E+16,6.89E+16,5.11E+16,2.01E+17,1.51E+17,2.01E+17,6.03E+16,water
6.11E+16,5.86E+16,2.01E+17,4.16E+17,5.99E+16,6.63E+16,6.90E+16,5.11E+16,2.00E+17,1.51E+17,2.01E+17,6.03E+16,water
6.09E+16,5.89E+16,2.01E+17,4.15E+17,6.00E+16,6.65E+16,7.04E+16,5.13E+16,2.00E+17,1.52E+17,2.01E+17,6.04E+16,orange
6.10E+16,5.89E+16,2.01E+17,4.15E+17,6.00E+16,6.59E+16,7.04E+16,5.13E+16,2.00E+17,1.52E+17,2.01E+17,6.02E+16,orange
6.09E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.64E+16,7.03E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.05E+16,orange
6.10E+16,5.89E+16,2.01E+17,4.15E+17,6.00E+16,6.57E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.02E+16,orange
6.09E+16,5.89E+16,2.01E+17,4.15E+17,5.99E+16,6.62E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.02E+16,orange
6.11E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.61E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.02E+16,orange
6.10E+16,5.91E+16,2.01E+17,4.15E+17,6.00E+16,6.61E+16,7.04E+16,5.12E+16,2.01E+17,1.52E+17,2.01E+17,6.04E+16,orange
6.10E+16,5.89E+16,2.01E+17,4.15E+17,5.99E+16,6.61E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.03E+16,orange
6.10E+16,5.90E+16,2.00E+17,4.15E+17,6.00E+16,6.55E+16,7.04E+16,5.12E+16,2.01E+17,1.52E+17,2.01E+17,6.05E+16,orange
6.09E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.61E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.04E+16,orange
6.11E+16,5.89E+16,2.01E+17,4.15E+17,5.99E+16,6.60E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.03E+16,orange
6.11E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.62E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.05E+16,orange
6.09E+16,5.87E+16,2.01E+17,4.15E+17,5.99E+16,6.59E+16,7.03E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.03E+16,orange
6.10E+16,5.90E+16,2.01E+17,4.15E+17,6.00E+16,6.57E+16,7.04E+16,5.12E+16,2.00E+17,1.52E+17,2.01E+17,6.05E+16,orange
6.10E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.61E+16,7.04E+16,5.12E+16,2.01E+17,1.52E+17,2.01E+17,6.02E+16,orange
6.11E+16,5.85E+16,2.01E+17,4.15E+17,5.99E+16,6.57E+16,6.98E+16,5.16E+16,2.01E+17,1.52E+17,2.01E+17,6.05E+16,orange
6.09E+16,5.85E+16,2.01E+17,4.15E+17,6.00E+16,6.56E+16,6.98E+16,5.16E+16,2.00E+17,1.52E+17,2.01E+17,6.01E+16,orange
6.10E+16,5.86E+16,2.01E+17,4.15E+17,5.99E+16,6.58E+16,6.98E+16,5.16E+16,2.00E+17,1.52E+17,2.01E+17,6.03E+16,orange
